Index,Form,Tense,Voice,Predicate,V POS,Head Word,Head Word POS,Phrase type,Path,Relative Position,Target
0,v,f,a,join,VB,Pierre,NNP,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
1,v,f,a,join,VB,will,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
2,v,f,a,join,VB,the,DT,NP,VB1VP0NP0,1,ARG1
3,v,f,a,join,VB,as,IN,PP-CLR,VB1VP0PP-CLR0,1,ARGM-PRD
4,v,f,a,join,VB,Nov.,NNP,NP-TMP,VB1VP0NP-TMP0,1,ARGM-TMP
5,p,-,a,publishing,VBG,group,NN,NN,VBG1NP0NN0,1,ARG0
6,p,p,p,named,VBN,Rudolph,NNP,NP-SBJ-1,VBN1VP1VP1S0NP-SBJ-10,0,ARG1
7,p,p,p,named,VBN,a,DT,NP-PRD,VBN1VP0S0NP-PRD0,1,ARG2
8,p,-,p,used,VBN,once,RB,ADVP-TMP,VBN1VP1RRC0ADVP-TMP0,0,ARGM-TMP
9,p,-,p,used,VBN,A,DT,NP,VBN1VP1RRC1NP-SBJ0NP0,0,ARG1
10,p,-,p,used,VBN,*,-NONE-,S-CLR,VBN1VP0S-CLR0,1,ARG2-PNC
11,i,-,a,make,VB,*,-NONE-,-NONE-,VB1VP1VP1S-CLR0NP-SBJ0-NONE-0,0,ARG0
12,i,-,a,make,VB,Kent,NNP,NP,VB1VP0NP0,1,ARG1
13,p,n,a,caused,VBN,A,DT,NP-SBJ,VBN1VP1VP1S-TPC-10NP-SBJ0,0,ARG0
14,p,n,a,caused,VBN,a,DT,NP,VBN1VP0NP0,1,ARG1
15,p,-,p,exposed,VBN,to,TO,PP-CLR,VBN1VP0PP-CLR0,1,ARG2-to
16,p,-,p,exposed,VBN,more,RBR,ADVP-TMP,VBN1VP0ADVP-TMP0,1,ARGM-TMP
17,p,-,p,exposed,VBN,a,DT,NP,VBN1VP1RRC1NP1PP1NP0NP0,0,ARG1
18,v,p,a,reported,VBD,researchers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
19,v,p,a,reported,VBD,A,DT,S-TPC-1,VBD1VP1S0S-TPC-10,0,ARG1
20,v,n,a,enters,VBZ,it,PRP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
21,v,n,a,enters,VBZ,the,DT,NP,VBZ1VP0NP0,1,ARG1
22,p,-,a,causing,VBG,even,RB,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0,ARG0
23,p,-,a,causing,VBG,symptoms,NNS,NP,VBG1VP0NP0,1,ARG1
24,v,n,a,show,VBP,symptoms,NNS,NP,VBP1VP1S1SBAR1NP0NP0,0,ARG1
25,v,n,a,show,VBP,decades,NNS,ADVP-TMP,VBP1VP0ADVP-TMP0,1,ARGM-TMP
26,v,p,a,said,VBD,researchers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
27,v,p,a,said,VBD,The,DT,S-TPC-2,VBD1VP1S0S-TPC-20,0,ARG1
28,v,n,a,makes,VBZ,Kent,NNP,NP,VBZ1VP0NP0,1,ARG1
29,v,n,a,makes,VBZ,the,DT,NP,VBZ1VP1S1SBAR1NP0NP0,0,ARG0
30,v,p,a,stopped,VBD,Lorillard,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
31,v,p,a,stopped,VBD,using,VBG,VBG,VBD1VP0VP0VBG0,1,ARG1
32,v,p,a,stopped,VBD,in,IN,PP-TMP,VBD1VP0VP0PP-TMP0,1,ARGM-TMP
33,g,-,-,using,VBG,Lorillard,NNP,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0,ARG0
34,g,-,-,using,VBG,crocidolite,NN,NP,VBG1VP0NP0,1,ARG1
