Index,Predicate,V POS,Head Word,Head Word POS,Phrase type,Path,Relative Position,Target
0,join,VB,Pierre,NNP,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
1,join,VB,will,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
2,join,VB,the,DT,NP,VB1VP0NP0,1,ARG1
3,join,VB,as,IN,PP-CLR,VB1VP0PP-CLR0,1,ARGM-PRD
4,join,VB,Nov.,NNP,NP-TMP,VB1VP0NP-TMP0,1,ARGM-TMP
5,publishing,VBG,group,NN,NN,VBG1NP0NN0,1,ARG0
6,named,VBN,Rudolph,NNP,NP-SBJ-1,VBN1VP1VP1S0NP-SBJ-10,0,ARG1
7,named,VBN,a,DT,NP-PRD,VBN1VP0S0NP-PRD0,1,ARG2
8,used,VBN,once,RB,ADVP-TMP,VBN1VP1RRC0ADVP-TMP0,0,ARGM-TMP
9,used,VBN,A,DT,NP,VBN1VP1RRC1NP-SBJ0NP0,0,ARG1
10,used,VBN,*,-NONE-,S-CLR,VBN1VP0S-CLR0,1,ARG2-PNC
11,make,VB,*,-NONE-,-NONE-,VB1VP1VP1S-CLR0NP-SBJ0-NONE-0,0,ARG0
12,make,VB,Kent,NNP,NP,VB1VP0NP0,1,ARG1
13,caused,VBN,A,DT,NP-SBJ,VBN1VP1VP1S-TPC-10NP-SBJ0,0,ARG0
14,caused,VBN,a,DT,NP,VBN1VP0NP0,1,ARG1
15,exposed,VBN,to,TO,PP-CLR,VBN1VP0PP-CLR0,1,ARG2-to
16,exposed,VBN,more,RBR,ADVP-TMP,VBN1VP0ADVP-TMP0,1,ARGM-TMP
17,exposed,VBN,a,DT,NP,VBN1VP1RRC1NP1PP1NP0NP0,0,ARG1
18,reported,VBD,researchers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
19,reported,VBD,A,DT,S-TPC-1,VBD1VP1S0S-TPC-10,0,ARG1
20,enters,VBZ,it,PRP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
21,enters,VBZ,the,DT,NP,VBZ1VP0NP0,1,ARG1
22,causing,VBG,even,RB,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0,ARG0
23,causing,VBG,symptoms,NNS,NP,VBG1VP0NP0,1,ARG1
24,show,VBP,symptoms,NNS,NP,VBP1VP1S1SBAR1NP0NP0,0,ARG1
25,show,VBP,decades,NNS,ADVP-TMP,VBP1VP0ADVP-TMP0,1,ARGM-TMP
26,said,VBD,researchers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
27,said,VBD,The,DT,S-TPC-2,VBD1VP1S0S-TPC-20,0,ARG1
28,makes,VBZ,Kent,NNP,NP,VBZ1VP0NP0,1,ARG1
29,makes,VBZ,the,DT,NP,VBZ1VP1S1SBAR1NP0NP0,0,ARG0
30,stopped,VBD,Lorillard,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
31,stopped,VBD,using,VBG,VBG,VBD1VP0VP0VBG0,1,ARG1
32,stopped,VBD,in,IN,PP-TMP,VBD1VP0VP0PP-TMP0,1,ARGM-TMP
33,using,VBG,Lorillard,NNP,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0,ARG0
34,using,VBG,crocidolite,NN,NP,VBG1VP0NP0,1,ARG1
35,using,VBG,in,IN,PP-LOC-CLR,VBG1VP0PP-LOC-CLR0,1,ARGM-LOC
36,reported,VBN,preliminary,JJ,NP-SBJ-2,VBN1VP1VP1S0NP-SBJ-20,0,ARG1
37,reported,VBN,more,RBR,ADVP-TMP,VBN1VP0ADVP-TMP0,1,ARGM-TMP
38,appear,VBP,Although,IN,SBAR-ADV,VBP1VP1S0SBAR-ADV0,0,ARGM-ADV
39,appear,VBP,the,DT,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG1
40,appear,VBP,in,IN,PP-LOC,VBP1VP0PP-LOC0,1,ARGM-LOC
41,bring,VB,the,DT,NP-SBJ,VB1VP1VP1S1ADJP1NP1NP1PP-LOC1VP1S0NP-SBJ0,0,ARG0
42,bring,VB,new,JJ,NP,VB1VP0NP0,1,ARG1
43,bring,VB,to,TO,PP-DIR,VB1VP0PP-DIR0,1,ARG2-to
44,said,VBD,A,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
45,said,VBD,This,DT,S,VBD1VP0S0,1,ARG1
