Index,Predicate,V POS,Head Word,Head Word POS,Phrase type,Path,Relative Position,Target
0,join,VB,Pierre,NNP,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
1,join,VB,will,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
2,join,VB,the,DT,NP,VB1VP0NP0,1,ARG1
3,join,VB,as,IN,PP-CLR,VB1VP0PP-CLR0,1,ARGM-PRD
4,join,VB,Nov.,NNP,NP-TMP,VB1VP0NP-TMP0,1,ARGM-TMP
6,named,VBN,Rudolph,NNP,NP-SBJ-1,VBN1VP1VP1S0NP-SBJ-10,0,ARG1
7,named,VBN,a,DT,NP-PRD,VBN1VP0S0NP-PRD0,1,ARG2
8,used,VBN,once,RB,ADVP-TMP,VBN1VP1RRC0ADVP-TMP0,0,ARGM-TMP
10,used,VBN,*,-NONE-,S-CLR,VBN1VP0S-CLR0,1,ARG2-PNC
12,make,VB,Kent,NNP,NP,VB1VP0NP0,1,ARG1
13,caused,VBN,A,DT,NP-SBJ,VBN1VP1VP1S-TPC-10NP-SBJ0,0,ARG0
15,exposed,VBN,to,TO,PP-CLR,VBN1VP0PP-CLR0,1,ARG2-to
16,exposed,VBN,more,RBR,ADVP-TMP,VBN1VP0ADVP-TMP0,1,ARGM-TMP
17,exposed,VBN,a,DT,NP,VBN1VP1RRC1NP1PP1NP0NP0,0,ARG1
18,reported,VBD,researchers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
21,enters,VBZ,the,DT,NP,VBZ1VP0NP0,1,ARG1
22,causing,VBG,even,RB,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0,ARG0
23,causing,VBG,symptoms,NNS,NP,VBG1VP0NP0,1,ARG1
24,show,VBP,symptoms,NNS,NP,VBP1VP1S1SBAR1NP0NP0,0,ARG1
25,show,VBP,decades,NNS,ADVP-TMP,VBP1VP0ADVP-TMP0,1,ARGM-TMP
26,said,VBD,researchers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
27,said,VBD,The,DT,S-TPC-2,VBD1VP1S0S-TPC-20,0,ARG1
28,makes,VBZ,Kent,NNP,NP,VBZ1VP0NP0,1,ARG1
29,makes,VBZ,the,DT,NP,VBZ1VP1S1SBAR1NP0NP0,0,ARG0
30,stopped,VBD,Lorillard,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
33,using,VBG,Lorillard,NNP,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0,ARG0
34,using,VBG,crocidolite,NN,NP,VBG1VP0NP0,1,ARG1
35,using,VBG,in,IN,PP-LOC-CLR,VBG1VP0PP-LOC-CLR0,1,ARGM-LOC
36,reported,VBN,preliminary,JJ,NP-SBJ-2,VBN1VP1VP1S0NP-SBJ-20,0,ARG1
37,reported,VBN,more,RBR,ADVP-TMP,VBN1VP0ADVP-TMP0,1,ARGM-TMP
38,appear,VBP,Although,IN,SBAR-ADV,VBP1VP1S0SBAR-ADV0,0,ARGM-ADV
39,appear,VBP,the,DT,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG1
41,bring,VB,the,DT,NP-SBJ,VB1VP1VP1S1ADJP1NP1NP1PP-LOC1VP1S0NP-SBJ0,0,ARG0
42,bring,VB,new,JJ,NP,VB1VP0NP0,1,ARG1
44,said,VBD,A,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
46,talking,VBG,We,PRP,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0,ARG0
48,heard,VBD,anyone,NN,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
49,heard,VBD,of,IN,PP-CLR,VBD1VP0PP-CLR0,1,ARG1-of
50,having,VBG,asbestos,NN,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0,ARG0
51,having,VBG,any,DT,NP,VBG1VP0NP0,1,ARG1
53,studied,VBD,the,DT,NP,VBD1VP0NP0,1,ARG1
54,have,VBP,We,PRP,NP-SBJ,VBP1VP1S-TPC-10NP-SBJ0,0,ARG0
55,have,VBP,no,DT,NP,VBP1VP0NP0,1,ARG1
56,said,VBD,We,PRP,S-TPC-1,VBD1VP1SINV0S-TPC-10,0,ARG1
58,led,VBD,Dr.,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
59,led,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
