Index,Roleset,Form,Tense,Voice,Predicate,V POS,Head Word,Head Word POS,Phrase type,Path,Relative Position,Target
0,join.01,v,f,a,join,VB,Pierre,NNP,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
1,join.01,v,f,a,join,VB,will,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
2,join.01,v,f,a,join,VB,the,DT,NP,VB1VP0NP0,1,ARG1
3,join.01,v,f,a,join,VB,as,IN,PP-CLR,VB1VP0PP-CLR0,1,ARGM-PRD
4,join.01,v,f,a,join,VB,Nov.,NNP,NP-TMP,VB1VP0NP-TMP0,1,ARGM-TMP
5,publish.01,p,-,a,publishing,VBG,group,NN,NN,VBG1NP0NN0,1,ARG0
6,name.01,p,p,p,named,VBN,Rudolph,NNP,NP-SBJ-1,VBN1VP1VP1S0NP-SBJ-10,0,ARG1
7,name.01,p,p,p,named,VBN,a,DT,NP-PRD,VBN1VP0S0NP-PRD0,1,ARG2
8,use.01,p,-,p,used,VBN,once,RB,ADVP-TMP,VBN1VP1RRC0ADVP-TMP0,0,ARGM-TMP
9,use.01,p,-,p,used,VBN,A,DT,NP,VBN1VP1RRC1NP-SBJ0NP0,0,ARG1
10,use.01,p,-,p,used,VBN,*,-NONE-,S-CLR,VBN1VP0S-CLR0,1,ARG2-PNC
11,make.01,i,-,a,make,VB,*,-NONE-,-NONE-,VB1VP1VP1S-CLR0NP-SBJ0-NONE-0,0,ARG0
12,make.01,i,-,a,make,VB,Kent,NNP,NP,VB1VP0NP0,1,ARG1
13,cause.01,p,n,a,caused,VBN,A,DT,NP-SBJ,VBN1VP1VP1S-TPC-10NP-SBJ0,0,ARG0
14,cause.01,p,n,a,caused,VBN,a,DT,NP,VBN1VP0NP0,1,ARG1
15,expose.01,p,-,p,exposed,VBN,to,TO,PP-CLR,VBN1VP0PP-CLR0,1,ARG2-to
16,expose.01,p,-,p,exposed,VBN,more,RBR,ADVP-TMP,VBN1VP0ADVP-TMP0,1,ARGM-TMP
17,expose.01,p,-,p,exposed,VBN,a,DT,NP,VBN1VP1RRC1NP1PP1NP0NP0,0,ARG1
18,report.01,v,p,a,reported,VBD,researchers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
19,report.01,v,p,a,reported,VBD,A,DT,S-TPC-1,VBD1VP1S0S-TPC-10,0,ARG1
20,enter.01,v,n,a,enters,VBZ,it,PRP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
21,enter.01,v,n,a,enters,VBZ,the,DT,NP,VBZ1VP0NP0,1,ARG1
22,cause.01,p,-,a,causing,VBG,even,RB,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0,ARG0
23,cause.01,p,-,a,causing,VBG,symptoms,NNS,NP,VBG1VP0NP0,1,ARG1
24,show.02,v,n,a,show,VBP,symptoms,NNS,NP,VBP1VP1S1SBAR1NP0NP0,0,ARG1
25,show.02,v,n,a,show,VBP,decades,NNS,ADVP-TMP,VBP1VP0ADVP-TMP0,1,ARGM-TMP
26,say.01,v,p,a,said,VBD,researchers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
27,say.01,v,p,a,said,VBD,The,DT,S-TPC-2,VBD1VP1S0S-TPC-20,0,ARG1
28,make.01,v,n,a,makes,VBZ,Kent,NNP,NP,VBZ1VP0NP0,1,ARG1
29,make.01,v,n,a,makes,VBZ,the,DT,NP,VBZ1VP1S1SBAR1NP0NP0,0,ARG0
30,stop.01,v,p,a,stopped,VBD,Lorillard,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
31,stop.01,v,p,a,stopped,VBD,using,VBG,VBG,VBD1VP0VP0VBG0,1,ARG1
32,stop.01,v,p,a,stopped,VBD,in,IN,PP-TMP,VBD1VP0VP0PP-TMP0,1,ARGM-TMP
33,use.01,g,-,-,using,VBG,Lorillard,NNP,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0,ARG0
34,use.01,g,-,-,using,VBG,crocidolite,NN,NP,VBG1VP0NP0,1,ARG1
35,use.01,g,-,-,using,VBG,in,IN,PP-LOC-CLR,VBG1VP0PP-LOC-CLR0,1,ARGM-LOC
36,report.01,p,p,p,reported,VBN,preliminary,JJ,NP-SBJ-2,VBN1VP1VP1S0NP-SBJ-20,0,ARG1
37,report.01,p,p,p,reported,VBN,more,RBR,ADVP-TMP,VBN1VP0ADVP-TMP0,1,ARGM-TMP
38,appear.01,v,n,a,appear,VBP,Although,IN,SBAR-ADV,VBP1VP1S0SBAR-ADV0,0,ARGM-ADV
39,appear.01,v,n,a,appear,VBP,the,DT,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG1
