Index,Roleset,Form,Tense,Voice,Predicate,V POS,Head Word,Head Word POS,Phrase type,Path,Relative Position
0,join.01,v,f,a,join,VB,Pierre,NNP,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0
2,join.01,v,f,a,join,VB,the,DT,NP,VB1VP0NP0,1
4,join.01,v,f,a,join,VB,Nov.,NNP,NP-TMP,VB1VP0NP-TMP0,1
6,name.01,p,p,p,named,VBN,Rudolph,NNP,NP-SBJ-1,VBN1VP1VP1S0NP-SBJ-10,0
8,use.01,p,0,p,used,VBN,once,RB,ADVP-TMP,VBN1VP1RRC0ADVP-TMP0,0
9,use.01,p,0,p,used,VBN,A,DT,NP,VBN1VP1RRC1NP-SBJ0NP0,0
10,use.01,p,0,p,used,VBN,*,-NONE-,S-CLR,VBN1VP0S-CLR0,1
11,make.01,i,0,a,make,VB,*,-NONE-,-NONE-,VB1VP1VP1S-CLR0NP-SBJ0-NONE-0,0
12,make.01,i,0,a,make,VB,Kent,NNP,NP,VB1VP0NP0,1
13,cause.01,p,n,a,caused,VBN,A,DT,NP-SBJ,VBN1VP1VP1S-TPC-10NP-SBJ0,0
14,cause.01,p,n,a,caused,VBN,a,DT,NP,VBN1VP0NP0,1
15,expose.01,p,0,p,exposed,VBN,to,TO,PP-CLR,VBN1VP0PP-CLR0,1
17,expose.01,p,0,p,exposed,VBN,a,DT,NP,VBN1VP1RRC1NP1PP1NP0NP0,0
18,report.01,v,p,a,reported,VBD,researchers,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0
19,report.01,v,p,a,reported,VBD,A,DT,S-TPC-1,VBD1VP1S0S-TPC-10,0
20,enter.01,v,n,a,enters,VBZ,it,PRP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0
21,enter.01,v,n,a,enters,VBZ,the,DT,NP,VBZ1VP0NP0,1
22,cause.01,p,0,a,causing,VBG,even,RB,NP-SBJ,VBG1VP1S-NOM0NP-SBJ0,0
